Date,Revenue,Gross Profit,Operating Income,Pretax Income,Net Income,Shares Outstanding (Diluted),EPS (Diluted),Free Cash Flow,EBITDA,EBIT,Adj Close
2014-02-24,49978.79120879121,19360.923076923078,14996.406593406593,15229.021978021978,11256.153846153846,24849.659340659342,0.4498901098901099,15161.252747252747,17293.857142857145,15313.65934065934,16.638578414916992
2014-02-25,49847.494505494506,19318.076923076922,14953.87912087912,15186.263736263736,11224.846153846154,24842.91208791209,0.44868131868131866,15067.032967032967,17248.285714285714,15270.91208791209,16.465417861938477
2014-02-26,49716.1978021978,19275.23076923077,14911.351648351649,15143.505494505494,11193.538461538461,24836.164835164836,0.44747252747252747,14972.813186813186,17202.714285714286,15228.164835164836,16.316869735717773
2014-02-27,49584.9010989011,19232.384615384617,14868.824175824177,15100.747252747253,11162.23076923077,24829.417582417584,0.4462637362637363,14878.593406593407,17157.14285714286,15185.417582417584,16.642351150512695
2014-02-28,49453.604395604394,19189.53846153846,14826.296703296703,15057.989010989011,11130.923076923076,24822.67032967033,0.44505494505494503,14784.373626373626,17111.571428571428,15142.67032967033,16.59725570678711
2014-03-03,49059.71428571429,19061.0,14698.714285714286,14929.714285714286,11037.0,24802.428571428572,0.4414285714285714,14501.714285714286,16974.857142857145,15014.428571428572,16.64519500732422
2014-03-04,48928.41758241758,19018.153846153848,14656.186813186814,14886.956043956045,11005.692307692309,24795.68131868132,0.4402197802197802,14407.494505494506,16929.285714285714,14971.68131868132,16.75494956970215
2014-03-05,48797.12087912088,18975.30769230769,14613.65934065934,14844.197802197803,10974.384615384615,24788.934065934067,0.439010989010989,14313.274725274725,16883.714285714286,14928.934065934067,16.79027557373047
2014-03-06,48665.82417582418,18932.46153846154,14571.131868131868,14801.439560439561,10943.076923076924,24782.186813186814,0.43780219780219776,14219.054945054944,16838.14285714286,14886.186813186814,16.7394962310791
2014-03-07,48534.52747252747,18889.615384615383,14528.604395604396,14758.68131868132,10911.76923076923,24775.43956043956,0.43659340659340656,14124.835164835164,16792.571428571428,14843.439560439561,16.729721069335938
2014-03-10,48140.63736263736,18761.076923076922,14401.021978021978,14630.406593406593,10817.846153846154,24755.197802197803,0.432967032967033,13842.175824175825,16655.857142857145,14715.197802197803,16.744863510131836
2014-03-11,48009.34065934066,18718.23076923077,14358.494505494506,14587.648351648351,10786.538461538461,24748.45054945055,0.43175824175824173,13747.956043956045,16610.285714285714,14672.45054945055,16.90791893005371
2014-03-12,47878.043956043955,18675.384615384617,14315.967032967033,14544.89010989011,10755.23076923077,24741.703296703297,0.43054945054945054,13653.736263736264,16564.714285714286,14629.703296703297,16.9243221282959
2014-03-13,47746.74725274726,18632.53846153846,14273.439560439561,14502.131868131868,10723.923076923078,24734.956043956045,0.42934065934065935,13559.516483516483,16519.14285714286,14586.956043956045,16.736345291137695
