Date,Cash & Cash Equivalents,Total Current Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Total Long-Term Liabilities,Total Liabilities,Total Debt,Adj Close
2019-06-10,213700.3186813187,132545.38461538462,193819.1208791209,326364.5054945055,90553.36263736263,137391.67032967033,227945.03296703298,109297.42857142857,46.648380279541016
2019-06-11,213537.67032967033,132673.15384615384,193474.21978021978,326147.37362637365,90508.65934065935,137322.58241758242,227831.24175824175,109251.14285714286,47.18853759765625
2019-06-12,213375.02197802198,132800.92307692306,193129.3186813187,325930.2417582418,90463.95604395604,137253.4945054945,227717.45054945056,109204.85714285714,47.03835678100586
2019-06-13,213212.37362637362,132928.6923076923,192784.41758241758,325713.10989010986,90419.25274725274,137184.4065934066,227603.65934065933,109158.57142857143,47.0286750793457
2019-06-14,213049.72527472526,133056.46153846153,192439.5164835165,325495.97802197805,90374.54945054946,137115.3186813187,227489.86813186813,109112.28571428571,46.687129974365234
2019-06-17,212561.78021978022,133439.76923076922,191404.81318681317,324844.5824175824,90240.43956043955,136908.05494505496,227148.4945054945,108973.42857142857,46.9656982421875
2019-06-18,212399.13186813187,133567.53846153847,191059.9120879121,324627.4505494505,90195.73626373627,136838.96703296702,227034.7032967033,108927.14285714286,48.070255279541016
2019-06-19,212236.4835164835,133695.3076923077,190715.01098901097,324410.31868131866,90151.03296703297,136769.8791208791,226920.9120879121,108880.85714285714,47.92976379394531
2019-06-20,212073.83516483515,133823.07692307694,190370.1098901099,324193.1868131868,90106.32967032967,136700.7912087912,226807.1208791209,108834.57142857143,48.31491088867188
2019-06-21,211911.18681318683,133950.84615384616,190025.2087912088,323976.05494505493,90061.62637362638,136631.7032967033,226693.32967032967,108788.28571428571,48.15019989013672
2019-06-24,211423.24175824175,134334.15384615384,188990.5054945055,323324.65934065933,89927.51648351649,136424.43956043955,226351.95604395604,108649.42857142857,48.10174179077149
2019-06-25,211260.5934065934,134461.92307692306,188645.6043956044,323107.52747252746,89882.81318681319,136355.35164835164,226238.16483516485,108603.14285714286,47.37263488769531
2019-06-26,211097.94505494507,134589.6923076923,188300.7032967033,322890.3956043956,89838.10989010989,136286.26373626373,226124.37362637362,108556.85714285714,48.39725875854492
2019-06-27,210935.2967032967,134717.46153846153,187955.8021978022,322673.26373626373,89793.40659340659,136217.17582417582,226010.58241758242,108510.57142857143,48.38272476196289
2019-06-28,210772.64835164836,134845.23076923078,187610.9010989011,322456.13186813187,89748.7032967033,136148.0879120879,225896.7912087912,108464.28571428571,47.941871643066406
2019-07-01,210506.43956043955,135585.0,187011.73626373627,322596.73626373627,90055.95604395604,136215.94505494504,226271.9010989011,108409.84615384616,48.82116317749024
2019-07-02,210454.65934065933,135891.0,186884.6043956044,322775.6043956044,90231.93406593407,136284.41758241758,226516.35164835164,108405.76923076923,49.10699081420898
2019-07-03,210402.8791208791,136197.0,186757.47252747254,322954.47252747254,90407.91208791209,136352.8901098901,226760.8021978022,108401.69230769231,49.51393508911133
2019-07-05,210299.3186813187,136809.0,186503.2087912088,323312.2087912088,90759.86813186813,136489.83516483515,227249.7032967033,108393.53846153847,49.470333099365234
2019-07-08,210143.97802197802,137727.0,186121.81318681317,323848.8131868132,91287.8021978022,136695.25274725276,227983.05494505496,108381.30769230769,48.4505500793457
2019-07-09,210092.1978021978,138033.0,185994.6813186813,324027.68131868134,91463.78021978022,136763.72527472526,228227.5054945055,108377.23076923077,48.74607467651367
2019-07-10,210040.41758241758,138339.0,185867.54945054944,324206.5494505495,91639.75824175825,136832.1978021978,228471.95604395604,108373.15384615384,49.22810745239258
2019-07-11,209988.63736263735,138645.0,185740.41758241758,324385.4175824176,91815.73626373627,136900.67032967033,228716.4065934066,108369.07692307692,48.86960220336914
